,User,Tweet
0,advosushildixit,"@anjanaomkashyap I am seeing you as future #bjp spokesperson..
Good luck. Anjana Om Modi oops Kashyap.
Journalists like you changed the meaning of journalism. Janta maaf nai karege"
1,jiaeur,"#LokSabhaElections2019 
23rd May 2019 will reveal ..
Even ECISVEEP could not help Modi Win 🤔

Janatab Mann Banaata Hai to
Chupke Se Be Jor Se Tappad Deta Hai .."
2,PVenkatGandhi,"#LokSabhaElections2019 
23rd May 2019 will reveal ..
Even @ECISVEEP could not help Modi Win 🤔

Janatab Mann Banaata Hai to
Chupke Se Be Jor Se Tappad Deta Hai .."
3,TheNirbhay1,"PM Modi creates a new record of being the only PM of a democratic country. 
Congratulations our pm welcome to the Heart of India again 🙏🙏🙏🙏🙏🙏🙏 .#Elections2019 #PMModi #DeshKaGauravModi #2020Election #BJP #India"
4,ShakeChilli,"@abhijitmajumder Appointment of Successor! 

God forbid if we allow BJP to stoop so low. That will be end of #RSS ideological high ground 

Post this election results #BJP will have new president and things will move on. 

As per bar set within party Modi should not contest LS 2024 @74years age"
5,UttarrPradesh,Which of the following should be top priority of Modi Government after #Loksabhaelections2019
6,Mdsr20351488,"After 5yrs of Modi 🙁

-SC vs SC
-EC vs EC
-Media vs Media 
-RBI vs RBI
-CBI vs CBI
-Friends vs Friends

Another 5yrs wil be🥺

-Army vs Army
-Cops vs Cops
-Family vs Family

@kunalkamra88 @prakashraaj 
@BDUTT @TheQuint @ndtv @sardesairajdeep
@dhruv_rathee 
#LokSabhaElections2019"
7,ShaileshWrites,"@RenukaJain6
I still remember your video massage. We all were disappointed when #BJP lost 3 states. You broke into tears!!
Now, It's time for big celebration!
Soon We will receive tweet from honourable @narendramodi ji―
""India has Won again!! भारत की जीत। चलो अब दौड लगाये!😊"""
8,iamljp,#bjp @BJP4India @INCIndia @INCKarnataka how much you think Modi spends my tax money on fake photography? Fake channels? Fake propaganda? Fake news? Fake advertisements? #chorchowkidar
9,TheShobhitAzad,"#AzadPrediction
#LokSabhaElections2019 

BJP - 290 to 315

NDA - 340 to 355

Take Screen Shot for 23rd May Result 

@narendramodi @AmitShah 

#AayegaTohModiHi"
10,sheikh541,"#BJP was renamed as Safroon Party then again it was named as Modi Party.

could any body guess what will be next name of the party...

@asadowaisi @warispathan @syedasimwaqar @aimim_national @shaukat_aimim 
#ModiHaiTohGodseHai #ModiInKedarnath #KejriwalAssassinationClaim"
11,Mdsr20351488,"All Pakistanis had serious doubts on concept of TwoNationTheory, they always hold grudge 4 amount of losses suffered during partition

But now they like Modi alot 4 clarifying TNT in best possible way

@kunalkamra88
@BDUTT @TheQuint 
@dhruv_rathee @AltNews
#LokSabhaElections2019"
12,JosephPravinP,"@ajaymaken @RahulGandhi And as a final touch, #Modi ji proved this world that not Rahul but he is the real #Pappu thereby making @RahulGandhi the perfect fit for the future!

Thank you Modi ji 😅
#BJP #Congress #RahulGandhi #Elections2019"
13,TheSaptarshiRay,"I think before casting the vote for  last phase  today People should finalize whom they want to see  as next PM
Rahul,Mamata,Akhilesh,Mayavati,Chandrababu,KCR,Devegowda,Modi and then cast vote wisely #LokSabhaElections2019 #majbootsarkar"
14,AshokeRattan,Trying to forge opposition will be a futile exercise. Imagine #INC could not get support of 11 MPs to be entitled to have legal Leader of Opposition. It’s benevolence of @narendramodi that gave position to a thankless @MallikarjunKharge in charity
15,VandanaMegastar,#LokSabhaElections2019 Anyone not having mass backing can't be a visionary politician. Such netas are destined to work for lobbies. Difference between Rahul &amp; Modi is that Modi has a cow and Rahul doesn't have. Rahul can't hide behind a cow. He will deliver or will have to go....
16,Iqbal_Hussains,"#ElectionCommission #LokSabhaElections2019 PM's meditation before the camera at kedarnath is a clear MCC violation, as modi is blue-eyed boy for EC no action expected,this body shows they aren't able to conduct even panchayat elections.@SyedAzhars @BDUTT @mohtasim_malik @KSaifi"
17,RGspeak,@INCIndia should release a video of @RahulGandhi visiting Kedarnath shrine and that of Modi immediately.... it would be a study in contrast &amp; important for everyone to comprehend.... #KedarnathTemple #Kedarnath #RahulGandhi
18,nirajkushwa,"@KajalChauhan_ @dashingassu Our PM ( Modi ji) will take serious decision, if it's true.#NarendraModi #cmyogi"
19,bhagat_9495,"Howmany Seats will BJP win ?

#LokSabhaElections2019 

@narendramodi 
@AmitShah 
@theskindoctor13 
@bhak_sala 
@ChitranshPathk 
@malharbhatt001"
20,UdayiCODE,I am seeing 3 Options for PM this time #Modi #NarendraModi #NarendraDamodarModi
21,SandipGhose,"@thakkar_sameet @BDUTT @surjitbhalla 4/n smacked of arrogance and entitlement. In turning it into a Modi Vs Rahul contest he undermined the entire Opposition campaign - making it a ""Aur Kaun Hain"" scenario. Opposition should squarely blame #RahulGandhi and #Congress for ruining their fighting chance. #Elections2019"
22,NehShh2,@JagratiGupta3 @Swamy39 In the matter of Education and exams without cheating I really appreciate the work of @myogiadityanath and @narendramodi . just because I feel that #Bjp knowledge ko support krti h #Bribe ko nhi ar ye yogi Ji ka #UP me phla aesa kam tha jisne desh ko sawara ar shi raah dukhai....
23,abdullalsebea,"If I'm Indian, I'll vote for @narendramodi 🇮🇳 

 #youthwithmodi #namoagain #election2019 #voteforindia #election #politics #vote #bjp #india #elections #news #narendramodi #rss #republican #president #like #bollywood #indian #bhfyp"
24,freespeechabi,"#LokSabhaElections2019 Last phase voters - please don’t get complacent that Modi is winning. Don’t forget to vote! Go Varanasi, Bengal, Punjab, etc. Get Modi through! #FinalPhase"
25,ninadsheth,@TarekFatah @nytopinion #RomilaThapar one of Indias top fiction writers calls #BJP  @narendramodi   peddllar of myths this is the real Denver resident  non Indian fat on foreign funds jihad supporters.
26,VijayMittal2512,@Ahmed1Hilal Calculation of @ArvindKejriwal 's #Vote distribution in Delhi of Muslims is wrong.Actual calculation is 60-70% went to #congress about 20% went to @AamAadmiParty and 10-20%went to #BJP Any leader of any party think that #MuslimVote not went to @BJP4India is in dark. @narendramodi
27,KedarSirohi,"Modi is India, India is Modi- this was proved at the press conference. Mr. India couldn’t be seen by the ‘reporters’ . Only one was wearing a Red glass.
#19_मई 
#LokSabhaElections2019 #MuteModi"
28,zarbealikazmi,1/2 without “#Parchi”. Modi was totally quite in hole conference rather than the president of #BJP answering all the questions. 😜😜😜😜
29,subhamsenapaty,"To all #BJP bhakts, it's an open challenge.
I need loan from any central government scheme.

#Note- 
1. All documents are ready.
2. Credit score is good.
@narendramodi @girirajsinghbjp @drramansingh @dpradhanbjp
@BJP4India @PMOIndia @sambitswaraj @AmitShah @minmsme"
30,soumyasarkar007,If voted power @narendramodi should not make the mistake by considering @arunjaitley as FM. It will be the worst case for the economy. #AbkiBaar300Paar #BJP #ApnaModiAayega #AyegaTohModiHi
31,Od_Vigilante,Increase the #Retirement #Age to 62 @narendramodi ji. #Kedarnath #HarHarMahadev #BJP #Election2019Results #Election2019 #RealHeroesOfHumanity @BJP4India @AmitShah
32,Scorpion1007,@IndiaToday @narendramodi What kind of bloody drama is this by this #bjp clown now?
33,devenrolly1987,"@ArvindKejriwal  My dear sir G The number of times you have chanted Modi Modi or BJP BJP till now,if it had been Ram Ram chanting the God would have come to earth till now. 
#LokSabhaElections2019 #Elections2019 #ModiHaiTohGodseHai #Modi #ModiOnBharat #NarendraModiJindabad #BJP"
34,BapiM14,"@IYCTelangana @IncBasavakalyan @narendramodi @IYC @INCIndia @RahulGandhi @priyankagandhi @HardikPatel_ @Allavaru @keshavyadaviyc @srinivasiyc @srivatsayb @RakshaRamaiah @JM_Scindia This is called in #BJP language,
""A Swatch &amp; Swasth Hindutva"" !!! This theory not applicable to any other person, except #BJPians! 
Question: Demonic possession of !!!!"
35,touthang_seiboi,"@sidmtweets @indosecular Good night Modi, wish you a sound sleep and enjoy the luxury Bed of kedernath @narendramodi 
#bjp"
